instrument,entry_date,exit_date,holding_days,entry_z,pnl,sector
BK-JPM,1998-11-19,1998-12-24,24,2.948052946444333,-0.023166156916533457,Banks
BK-JPM,1998-12-28,1998-12-29,1,4.240337912446223,-0.00499098122186278,Banks
BK-JPM,1998-12-30,1998-12-31,1,4.962610691291302,-0.004561634960748282,Banks
BK-JPM,1999-01-04,1999-01-05,1,4.803591875981815,0.0056981514022662605,Banks
BK-JPM,1999-01-06,1999-01-07,1,4.0643406631855825,0.004672957008420537,Banks
FCX-NUE,1998-12-22,1999-02-01,26,-1.9308636688941136,-0.03929971160646779,Materials
FCX-NUE,1999-02-02,1999-02-03,1,-4.167591299459906,0.005404581473112909,Materials
APC-OXY,1998-12-02,1999-02-08,45,-3.584247717504132,0.022568952086799356,Energy
LMT-RTN,1998-12-29,1999-01-07,6,-2.9455351424596294,-0.03061487880290792,Aerospace & Defense
LMT-RTN,1999-01-08,1999-01-11,1,-4.7187523725637135,0.0016254570493381608,Aerospace & Defense
LMT-RTN,1999-01-12,1999-01-13,1,-4.714370795758859,-0.002521466607743149,Aerospace & Defense
LMT-RTN,1999-01-14,1999-01-15,1,-5.237005274119195,0.0026403454570332993,Aerospace & Defense
LMT-RTN,1999-01-19,1999-01-20,1,-5.5182854408261575,-0.012810876273503446,Aerospace & Defense
LMT-RTN,1999-01-21,1999-01-22,1,-5.005738361084941,0.0083069643468174,Aerospace & Defense
LMT-RTN,1999-01-25,1999-01-26,1,-5.364605023900171,-0.004184660312623024,Aerospace & Defense
LMT-RTN,1999-01-27,1999-01-28,1,-5.745901149955128,-0.009821531193424849,Aerospace & Defense
LMT-RTN,1999-01-29,1999-02-01,1,-6.938199897678767,0.0035323167066298343,Aerospace & Defense
LMT-RTN,1999-02-02,1999-02-03,1,-5.383593073960441,0.0018656420689420344,Aerospace & Defense
LMT-RTN,1999-02-04,1999-02-05,1,-5.287691257129597,-0.005812280904497673,Aerospace & Defense
LMT-RTN,1999-02-08,1999-02-09,1,-5.93754107484264,0.006096800381877692,Aerospace & Defense
JPM-STT,1999-04-05,1999-04-28,17,-3.0516580626626606,-0.03907478135345649,Banks
JPM-STT,1999-04-29,1999-04-30,1,-4.152626087558107,0.025748086633144478,Banks
APC-XOM,1999-04-19,1999-04-30,9,3.8024325275573987,-0.04239061599196428,Energy
APC-XOM,1999-05-03,1999-05-04,1,4.481805497904026,-0.05150999695990571,Energy
APC-XOM,1999-05-05,1999-05-06,1,4.151234026605583,0.034971241824204885,Energy
DUK-PEG,1999-02-25,1999-03-31,24,-2.9570881817968475,-0.013708888734249485,Utilities
DUK-PEG,1999-04-01,1999-04-05,1,-4.396037461001938,0.004571194266675677,Utilities
DUK-PEG,1999-04-06,1999-04-07,1,-4.871241459819304,-0.002286729550008625,Utilities
DUK-PEG,1999-04-08,1999-04-09,1,-4.837776124469277,-0.0004634511096771551,Utilities
DUK-PEG,1999-04-12,1999-04-13,1,-5.27881691519946,-0.00027448277648516793,Utilities
DUK-PEG,1999-04-14,1999-04-15,1,-6.203387383529273,-0.0007454791850464676,Utilities
DUK-PEG,1999-04-16,1999-04-19,1,-5.300971478455943,-0.0026704480690010837,Utilities
DUK-PEG,1999-04-20,1999-04-21,1,-5.447204714442841,-0.003619120966077419,Utilities
DUK-PEG,1999-04-22,1999-04-23,1,-5.61565085124165,-0.005079449432015074,Utilities
DUK-PEG,1999-04-26,1999-04-27,1,-6.777854887864725,-0.0004744132248892148,Utilities
DUK-PEG,1999-04-28,1999-04-29,1,-5.481470554081018,0.0059768895979998215,Utilities
DUK-PEG,1999-04-30,1999-05-03,1,-4.987783812902135,8.98652114008733e-05,Utilities
DUK-PEG,1999-05-04,1999-05-05,1,-5.832482069608584,-0.006088005529417568,Utilities
DUK-PEG,1999-05-06,1999-05-07,1,-5.555288612271236,0.002460123189925389,Utilities
DUK-PEG,1999-05-10,1999-05-11,1,-6.1214133256335845,-0.001580287724198301,Utilities
LLY-MRK,1999-06-29,1999-07-19,13,-2.3712050058731253,0.034707064543471396,Pharma & Med Device
ETR-PEG,1999-08-17,1999-09-15,20,-2.1813483387267563,0.019815079423459572,Utilities
