formation_start,formation_end,trade_start,trade_end,n_instruments,instruments,regime_hurst,size_scalar,avg_pairwise_corr,window_sharpe,window_return
1997-11-10,1998-11-09,1998-11-10,1999-02-10,4,"['BK-JPM', 'FCX-NUE', 'APC-OXY', 'LMT-RTN']",,1.0,-0.049225183392124984,-0.8519477256406752,-0.01114357681860123
1998-02-11,1999-02-10,1999-02-11,1999-05-12,4,"['JPM-STT', 'APC-XOM', 'DUK-PEG', 'CL-PG']",,1.0,-0.13887666443317745,-0.43759764004426127,-0.0072039403405852465
1998-05-13,1999-05-12,1999-05-13,1999-08-11,4,"['NEM-PPG', 'ETR-EXC', 'LLY-MRK', 'CSX-NSC']",,1.0,-0.14310011908208167,2.2293026826865434,0.007050658048884939
1998-08-12,1999-08-11,1999-08-12,1999-11-09,4,"['ETR-PEG', 'BAC-PNC', 'MAS-NUE', 'GIS-KO']",,1.0,-0.03691580453020195,0.5832312345621657,0.006828177451672746
1998-11-10,1999-11-09,1999-11-10,2000-02-09,4,"['BAX-MDT', 'C-WFC', 'ABC-CVS', 'HD-JWN']",,1.0,0.023431953736037684,1.705668713350446,0.04616230022056622
1999-02-11,2000-02-09,2000-02-10,2000-05-10,3,"['JNJ-MDT', 'AFL-AIG', 'AVY-NUE']",,1.0,0.04944386663911051,3.3373620308477947,0.11228093604889966
1999-05-13,2000-05-10,2000-05-11,2000-08-09,4,"['BAX-LLY', 'AXP-COF', 'ETR-SO', 'CL-KMB']",,1.0,,-0.8506335706763779,-0.0046934661673312394
1999-08-12,2000-08-09,2000-08-10,2000-11-07,4,"['TJX-WMT', 'AXP-COF', 'CL-CLX', 'JNJ-MRK']",,1.0,0.09021672990489958,0.5101757355440321,0.003388666358075776
1999-11-10,2000-11-07,2000-11-08,2001-02-08,4,"['BAC-JPM', 'BDX-BMY', 'HPQ-XRX', 'MAS-PPG']",,1.0,-0.002061678027666981,1.7952407692887054,0.030224867852997273
2000-02-10,2001-02-08,2001-02-09,2001-05-10,4,"['K-KO', 'FCX-MAS', 'APA-OXY', 'CMCSA-VZ']",,1.0,,-2.8670795499097115,-0.008451657743602237
2000-05-11,2001-05-10,2001-05-11,2001-08-09,4,"['ABC-CVS', 'JNJ-LLY', 'DOV-ETN', 'APA-COP']",,1.0,0.1375566919553581,-2.1603169480873707,-0.021233332165910945
2000-08-10,2001-08-09,2001-08-10,2001-11-13,4,"['DUK-FE', 'DOV-ETN', 'CLX-ECL', 'AMAT-MU']",,1.0,0.13109666467676737,2.767789434909994,0.05269127164484777
2000-11-08,2001-11-13,2001-11-14,2002-02-14,4,"['AIG-CB', 'D-ETR', 'HD-JWN', 'COP-MRO']",,1.0,,-1.800634062162552,-0.0065037650105351785
2001-02-09,2002-02-14,2002-02-15,2002-05-16,4,"['LLY-PKI', 'KO-PEP', 'QCOM-TXN', 'ADSK-ORCL']",,1.0,-0.08366194685543242,0.9502567859010025,0.005699300581985645
2001-05-11,2002-05-16,2002-05-17,2002-08-15,4,"['LRCX-TXN', 'BAX-BDX', 'CPB-GIS', 'CVX-XOM']",,1.0,0.0482163749094894,0.0965473047508866,0.0011569854963375814
2001-08-10,2002-08-15,2002-08-16,2002-11-13,4,"['HSY-PEP', 'GPS-TJX', 'AEP-DUK', 'APD-FCX']",,1.0,0.0035137308888744203,2.0984738133107763,0.026449716898547804
2001-11-14,2002-11-13,2002-11-14,2003-02-14,4,"['HSY-KO', 'HAL-OXY', 'IBM-XRX', 'AEP-DUK']",,1.0,,,0.0
2002-02-15,2003-02-14,2003-02-18,2003-05-16,4,"['CAG-HSY', 'BAC-WFC', 'AXP-COF', 'AIG-ALL']",,1.0,,0.5324116083920086,0.0028740232376531782
2002-05-17,2003-05-16,2003-05-19,2003-08-15,4,"['ED-PEG', 'COST-HD', 'ABT-BMY', 'GIS-HSY']",,1.0,-0.0009638054738790083,0.38687252129024713,0.0016588605654748179
2002-08-16,2003-08-15,2003-08-18,2003-11-13,4,"['LNC-MMC', 'ADI-AMD', 'IBM-XRX', 'BMY-PFE']",,1.0,-0.18382648402890103,-3.379147412294701,-0.024387581157219396
2002-11-14,2003-11-13,2003-11-14,2004-02-17,4,"['ABT-BMY', 'APA-COP', 'FE-SO', 'AIG-LNC']",,1.0,-0.001720547107518189,3.2748613347255895,0.005700752956060429
2003-02-18,2004-02-17,2004-02-18,2004-05-17,4,"['CAG-K', 'APA-MRO', 'CAT-DE', 'AIG-UNM']",,1.0,-0.079151678426881,0.8339995115287484,0.0027236447589285007
2003-05-19,2004-05-17,2004-05-18,2004-08-17,4,"['BK-C', 'MCD-YUM', 'APC-CVX', 'HUM-MCK']",,1.0,0.06678799599869445,4.25028254564638,0.0203216146771954
2003-08-18,2004-08-17,2004-08-18,2004-11-15,4,"['CAT-DOV', 'D-SO', 'ABT-BMY', 'AIG-CB']",,1.0,-0.04930654925381,2.5031307259481843,0.009551956503743853
2003-11-14,2004-11-15,2004-11-16,2005-02-15,4,"['GLW-XRX', 'AEP-D', 'AFL-LNC', 'APD-NEM']",,1.0,0.011036015591109666,0.32298923993444784,0.0021861211113061163
2004-02-18,2005-02-15,2005-02-16,2005-05-17,4,"['DOV-SWK', 'LOW-TGT', 'BMY-SYK', 'APD-MAS']",,1.0,-0.19480148592807786,0.4184880688221546,0.0011494473942461614
2004-05-18,2005-05-17,2005-05-18,2005-08-16,4,"['PNC-USB', 'BAX-BMY', 'COST-HD', 'AXP-COF']",,1.0,,2.717952215583485,0.0013264810475208666
2004-08-18,2005-08-16,2005-08-17,2005-11-14,4,"['DIS-T', 'PCAR-SWK', 'LLY-MRK', 'LMT-RTN']",,1.0,0.10466719673983531,2.994607668366331,0.02281795641089346
2004-11-16,2005-11-14,2005-11-15,2006-02-15,4,"['FE-PEG', 'CMCSA-T', 'CPB-K', 'ECL-PG']",,1.0,0.28763682429023624,-2.5076605531566716,-0.02134675025859789
